OBJECTID,PROVIDER,ADDRESS,CITY,ZIPCODE,LAT,LON,POINT_X,POINT_Y,x,y
1,Borinquen Heal Care Center (BMC) - Main Office,3601 Federal Hwy,Miami,33137,25.81098,-80.19057,922455.812571004,537809.187546759,-8926772.996,2975689.0526
2,BMC - Borinquen Heal Care Center - West Dade,10528 SW 8th St,Miami-Dade,33174,25.76002,-80.36657,864640.118819419,518970.17535609,-8946366.0613,2969389.0023
3,Camillus Health Concern,336 NW 5th St,Miami,33128,25.7784,-80.20067,919202.187844671,525949.249980591,-8927898.2236,2971661.6275
4,Better Way of Miami,800 NW 28th Street,Miami,33127,25.80217,-80.20966,916190.965520669,534568.104133926,-8928899.2984,2974599.4336
5,The Salvation Army Miami Area Command,1907 NW 38th St,Miami-Dade,33142,25.81156,-80.22993,909502.062559921,537941.374946423,-8931155.6602,2975760.4725
6,CHI - South Dade Health Center,13600 SW 312th Street,Homestead,33033,25.47763,-80.41095,850489.143840589,416267.975905262,-8951306.6222,2934526.0063
7,CHI - West Perrine Health Center,18255 Homestead Ave,Miami-Dade,33157,25.59986,-80.35553,868556.248782422,460777.992856175,-8945137.4923,2949606.4172
8,CHI - Doris Ison Health Center,10300 SW 216th St,Miami,33190,25.56577,-80.35806,867783.84579967,448382.178080924,-8945418.6409,2945398.4432
9,CHI - Everglades Health Center,19300 SW 376th St,Miami-Dade,33034,25.41952,-80.50241,820395.687295336,395026.125016339,-8961487.8184,2927362.3086
10,CHI - Martin Luther King Jr. Clinica Campesina,810 W Mowry Drive,Homestead,33030,25.46922,-80.48749,825254.812419586,413107.343447007,-8959825.5441,2933489.0921
11,CHI - Naranja Health Center,13805 SW 264th St,Miami-Dade,33032,25.52147,-80.41492,849111.500270419,432197.906315677,-8951747.846,2939933.7567
12,Citrus Health Network - Main Office,4175 W 20th Ave,Hialeah,33012,25.85976,-80.32164,879241.312386002,555295.062679924,-8941364.3602,2981722.2122
13,Citrus Maternal and Child Health Center,555 West 51st Place,Hialeah,33012,25.8693,-80.29383,888369.437502421,558810.999873757,-8938268.1118,2982902.5154
14,JTCHC - Flamingo Medical Center,901 East 10th Ave,Hialeah,33010,25.83242,-80.26046,899415.937719088,545467.749985509,-8934554.0456,2978340.8902
15,JTCHC - Jessie Trice Center for Community Health,5361 NW 22nd Ave,Miami-Dade,33142,25.82375,-80.23206,908775.625036422,542369.437612593,-8931392.7079,2977268.4334
16,JTCHC - Norland Medical Center,18360 NW 7th Ave,Miami Gardens,33169,25.94327,-80.21485,914178.812392753,585844.687604174,-8929476.3178,2992056.7905
17,JTCHC - North/Women's/Children's Centers,1190 NW 95th St ,Miami-Dade,33150,25.85957,-80.2143,914542.062322419,555422.062425926,-8929415.0074,2981698.4805
18,JTCHC - Dental Health Center,5607 NW 27th Ave,Miami-Dade,33142,25.82634,-80.23955,906311.375043672,543295.437401012,-8932224.7736,2977588.3688
19,Helen B. Bentley Family Health Center,3090 SW 37th Ave,Miami,33133,25.73431,-80.25449,901581.062653922,509819.28125634,-8933889.6136,2966211.7853
20,Doctor Medical Center North Miami,1100 NE 125th St,North Miami,33161,25.89036,-80.17616,927012.187316503,566690.250191346,-8925170.08140001,2985507.9201
21,MBCC - Stanley C. Myers Center,710 Alton Rd,Miami Beach,33139,25.77722,-80.14121,938771.437420003,525641.87526726,-8921279.49770001,2971515.2045
22,MBCC - Beverly Press Center  ,1221 71 Street,Miami Beach,33141,25.85469,-80.13202,941611.874980588,553820.875011511,-8920255.83560001,2981095.5669
