name,description,website,phone,email,address_line1,address_line2,city,state,zip,neighborhood,languages,specialties,care_types,clinic_type,public_private,sliding_scale,uninsured_accepted,medicaid_accepted,medicare_accepted,low_income_focused,fqhq_flag,meds_onsite,free_therapy,price_min,price_max,availability_status,rating,review_count,source,notes,latitude,longitude
Borinquen Heal Care Center (BMC) - Main Office,,,,,3601 Federal Hwy,,Miami,FL,33137,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.81098,-80.19057
BMC - Borinquen Heal Care Center - West Dade,,,,,10528 SW 8th St,,Miami-Dade,FL,33174,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.76002,-80.36657
Camillus Health Concern,,,,,336 NW 5th St,,Miami,FL,33128,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.7784,-80.20067
Better Way of Miami,,,,,800 NW 28th Street,,Miami,FL,33127,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.80217,-80.20966
The Salvation Army Miami Area Command,,,,,1907 NW 38th St,,Miami-Dade,FL,33142,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.81156,-80.22993
CHI - South Dade Health Center,,,,,13600 SW 312th Street,,Homestead,FL,33033,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.47763,-80.41095
CHI - West Perrine Health Center,,,,,18255 Homestead Ave,,Miami-Dade,FL,33157,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.59986,-80.35553
CHI - Doris Ison Health Center,,,,,10300 SW 216th St,,Miami,FL,33190,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.56577,-80.35806
CHI - Everglades Health Center,,,,,19300 SW 376th St,,Miami-Dade,FL,33034,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.41952,-80.50241
CHI - Martin Luther King Jr. Clinica Campesina,,,,,810 W Mowry Drive,,Homestead,FL,33030,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.46922,-80.48749
CHI - Naranja Health Center,,,,,13805 SW 264th St,,Miami-Dade,FL,33032,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.52147,-80.41492
Citrus Health Network - Main Office,,,,,4175 W 20th Ave,,Hialeah,FL,33012,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.85976,-80.32164
Citrus Maternal and Child Health Center,,,,,555 West 51st Place,,Hialeah,FL,33012,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.8693,-80.29383
JTCHC - Flamingo Medical Center,,,,,901 East 10th Ave,,Hialeah,FL,33010,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.83242,-80.26046
JTCHC - Jessie Trice Center for Community Health,,,,,5361 NW 22nd Ave,,Miami-Dade,FL,33142,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.82375,-80.23206
JTCHC - Norland Medical Center,,,,,18360 NW 7th Ave,,Miami Gardens,FL,33169,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.94327,-80.21485
JTCHC - North/Women's/Children's Centers,,,,,1190 NW 95th St,,Miami-Dade,FL,33150,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.85957,-80.2143
JTCHC - Dental Health Center,,,,,5607 NW 27th Ave,,Miami-Dade,FL,33142,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.82634,-80.23955
Helen B. Bentley Family Health Center,,,,,3090 SW 37th Ave,,Miami,FL,33133,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.73431,-80.25449
Doctor Medical Center North Miami,,,,,1100 NE 125th St,,North Miami,FL,33161,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.89036,-80.17616
MBCC - Stanley C. Myers Center,,,,,710 Alton Rd,,Miami Beach,FL,33139,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.77722,-80.14121
MBCC - Beverly Press Center,,,,,1221 71 Street,,Miami Beach,FL,33141,,"{Spanish,English}",,{primary_care},clinic,non-profit,true,true,true,,true,true,false,false,,,,,,miami-dade-fqhc,,25.85469,-80.13202
